codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,sector,area,modalidad,jornada,plan,departamental,establecimiento_norm,direccion_norm,telefono_norm
16-01-1002-46,16-031,Alta Verapaz,coban,colegio cristiano elim,diagonal 3 11-04 z 2,44779923,patricio najarro asencio,selvin dario rosales aguirre,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,cristiano elim,diagonal 3 11-04 z 2,44779923
16-01-1005-46,16-031,Alta Verapaz,coban,liceo chaabil be,8a. av 4-39 z 4,56969292,patricio najarro asencio,allan noel macz chiquin,privado,urbana,monolingue,vespertina,virtual a distancia,alta verapaz,chaabil be,8a. av 4-39 z 4,56969292
16-01-1008-46,16-031,Alta Verapaz,coban,colegio hispanoamericano,9a. av 2-22 z 1,77738763,patricio najarro asencio,octavio ismael batz choc,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,hispanoamericano,9a. av 2-22 z 1,77738763
16-01-1009-46,16-031,Alta Verapaz,coban,colegio bilingue betluz,7a. calle 11-233 z 6,45379823,patricio najarro asencio,celeste leticia yat macz,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,bilingue betluz,7a. calle 11-233 z 6,45379823
16-01-1175-46,16-031,Alta Verapaz,coban,instituto privado raul chenal heinemann,5ta. calle 1-06 z 3,79520414,patricio najarro asencio,silvia beatriz soto chén,privado,urbana,monolingue,doble,fin de semana,alta verapaz,privado raul chenal heinemann,5ta. calle 1-06 z 3,79520414
16-01-2156-46,16-031,Alta Verapaz,coban,colegio particular mixto imperial,5a. calle 1-98 z 3,57101061,patricio najarro asencio,farewell luther osorio,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,particular mixto imperial,5a. calle 1-98 z 3,57101061
16-01-3041-46,16-005,Alta Verapaz,coban,instituto de bachillerato ads al instituto normal mixto del norte emilio rosales ponce,3avenida 6-23 z 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz,de bachillerato ads al  normal mixto del norte emilio rosales ponce,3avenida 6-23 z 11,79521468
16-01-9067-46,16-005,Alta Verapaz,coban,escuela normal de educacion fisica,calzada rabin ajau z 11,79523686,nora liliana figueroa hernández,berta maria mendez rodriguez,oficial,urbana,monolingue,doble,diario(regular),alta verapaz,normal de educacion fisica,calzada rabin ajau z 11,79523686
16-01-9102-46,16-031,Alta Verapaz,coban,colegio mixto evangelico nazareno,6a. calle 8-10 z 10 cerrito el caracol coban,79511866,patricio najarro asencio,ana maria yat coy,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,mixto evangelico nazareno,6a. calle 8-10 z 10 cerrito el caracol coban,79511866
16-01-9544-46,16-031,Alta Verapaz,coban,colegio bilingue de infantes,3a. calle 7-07 z 3,33836377,patricio najarro asencio,nancy johana hengstenberg delgado,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,bilingue de infantes,3a. calle 7-07 z 3,33836377
16-01-9851-46,16-031,Alta Verapaz,coban,colegio de informatica ceninfav,12av. 2-12 z 1,79521765,patricio najarro asencio,héctor vidal bol cú,privado,urbana,monolingue,doble,fin de semana,alta verapaz,de informatica ceninfav,12av. 2-12 z 1,79521765
16-01-9897-46,16-031,Alta Verapaz,coban,colegio particular mixto verapaz,km.209.5 entrada a coban,77367402,patricio najarro asencio,jorge edy gutierrez ponce,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,particular mixto verapaz,km.209.5 entrada a coban,77367402
16-01-9958-46,16-031,Alta Verapaz,coban,liceo dr ricardo bressani,1a. av 5-52 z 2,79521920,patricio najarro asencio,belsy claribel santisteban archila,privado,urbana,monolingue,doble,diario(regular),alta verapaz,dr ricardo bressani,1a. av 5-52 z 2,79521920
16-02-0013-46,16-006,Alta Verapaz,santa cruz verapaz,instituto nacional de educacion diversificada,barrio santa elena,57767683,jorge eduardo paque lázaro,erik roberto cú pop,oficial,rural,monolingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,barrio santa elena,57767683
16-02-0020-46,16-006,Alta Verapaz,santa cruz verapaz,liceo santa cruz,calle 3 de mayo 2-67 z 2 barrio santo tomas,50161328,jorge eduardo paque lázaro,augusto alexander rax rodríguez,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,santa cruz,calle 3 de mayo 2-67 z 2 barrio santo tomas,50161328
16-02-0055-46,16-006,Alta Verapaz,santa cruz verapaz,liceo santa cruz,calle 3 de mayo 2-67 barrio santo tomas,42035694,jorge eduardo paque lázaro,augusto alexander rax rodríguez,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz,santa cruz,calle 3 de mayo 2-67 barrio santo tomas,42035694
16-03-0036-46,16-053,Alta Verapaz,san cristobal verapaz,instituto nacional de educacion diversificada,barrio chiyuc,FORMATO_INV,leonardo oxom chen,edy rolando jom coy,oficial,rural,monolingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,barrio chiyuc,
16-03-0047-46,16-008,Alta Verapaz,san cristobal verapaz,liceo san cristobal,5a. calle 4-18 z 1 barrio santa ana san cristobal verapaz,79504134,emiilio rubén caál gualib,otto erik morán chiquín,privado,urbana,monolingue,doble,fin de semana,alta verapaz,san cristobal,5a. calle 4-18 z 1 barrio santa ana san cristobal verapaz,79504134
16-03-0056-46,16-008,Alta Verapaz,san cristobal verapaz,instituto tecnologico vocacional marco tulio de la cruz morales,2a. calle z 4 barrio san felipe,79504929,emiilio rubén caál gualib,rigoberto higinio suram jom,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,tecnologico vocacional marco tulio de la cruz morales,2a. calle z 4 barrio san felipe,79504929
16-03-0087-46,16-008,Alta Verapaz,san cristobal verapaz,instituto nacional de educacion diversificada con orientacion en artes y oficios,caserio pantocan,55288589,emiilio rubén caál gualib,joel david lem surám,oficial,rural,bilingue,matutina,diario(regular),alta verapaz,nacional de educacion diversificada con orientacion en artes y oficios,caserio pantocan,55288589
16-03-0158-46,16-050,Alta Verapaz,san cristobal verapaz,centro de educacion extraescolar ceex,colonia pantocan,46280307,maximiliano chub ical,sara floridalma cú tiul,privado,rural,bilingue,doble,semipresencial,alta verapaz,de educacion extraescolar ceex,colonia pantocan,46280307
