16-01-0703-46,16-031,alta verapaz,coban,instituto mixto privado salud y desarrollo,diagnonal 1 1-26 zona 1,51922050,patricio najarro asencio,samantha gabriela de la cruz morales,privado,urbana,bilingue,vespertina,diario(regular),alta verapaz
16-01-0705-46,16-050,alta verapaz,coban,programa nacional de educación alternativa pronea,7a. av. 2-18 d zona 1,45587767,maximiliano chub ical,--,oficial,rural,monolingue,doble,a distancia,alta verapaz
16-01-0710-46,16-031,alta verapaz,coban,oxford bilingual school,2da. calle 16-94 zona 4,79513898,patricio najarro asencio,darwin roberto iglesias de la cruz,privado,urbana,bilingue,matutina,diario(regular),alta verapaz
16-01-0712-46,16-050,alta verapaz,coban,enbi centro de educación extraescolar -ceex-,10 avenida 1-25 zona 3,79521302,maximiliano chub ical,anabela cecilia bol caal,oficial,urbana,bilingue,vespertina,diario(regular),alta verapaz
16-01-0909-46,16-031,alta verapaz,coban,"isea ""la escuela en su casa""","2a. calle ""a"" 11-10, zona 1",77256954,patricio najarro asencio,ludwing joel noriega morales,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0910-46,16-031,alta verapaz,coban,colegio de informatica ceninfav,"12 avenida 2-12, zona 1",79521765,patricio najarro asencio,héctor vidal bol cú,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0912-46,16-031,alta verapaz,coban,colegio privado mixto tecnologico en informatica,"2a. calle 12-23, zona 4",79511459,patricio najarro asencio,daniel bernardo ramirez gonzález,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0913-46,16-031,alta verapaz,coban,instituto mixto privado salud y desarrollo,"diagonal 1 1-26, zona 1",59584790,patricio najarro asencio,samantha gabriela de la cruz morales,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0915-46,16-031,alta verapaz,coban,instituto mixto privado santo domingo,"2a. calle 11-10, zona 2",79529830,patricio najarro asencio,américa nuila luther,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0917-46,16-031,alta verapaz,coban,instituto privado mixto monja blanca,"diagonal 3 14-11, zona 2",79513896,patricio najarro asencio,edwin armando catún caal,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0918-46,16-031,alta verapaz,coban,liceo preuniversitario de norte,"3a. avenida 8-32, zona 10",79417346,patricio najarro asencio,zoila imena lópez rodas,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0919-46,16-031,alta verapaz,coban,"liceo mixto particular ""san benito""","9a. avenida 4-55, zona 4",37058145,patricio najarro asencio,henri marco artola teyul,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-0922-46,16-031,alta verapaz,coban,colegio la libertad,"3a. avenida 5-12, zona 4",33857209,patricio najarro asencio,silvia yolanda caal quim,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0926-46,16-005,alta verapaz,coban,instituto nacional de educación diversificada,2a. calle 1-99 zona 4 coban,33622052,nora liliana figueroa hernández,selvin edder hernández molina,oficial,urbana,monolingue,nocturna,diario(regular),alta verapaz
16-01-0927-46,16-005,alta verapaz,coban,instituto nacional de educación diversificada,2a. calle 1-99 zona 4,33622052,nora liliana figueroa hernández,selvin edder hernández molina,oficial,urbana,monolingue,nocturna,diario(regular),alta verapaz
16-01-0986-46,16-031,alta verapaz,coban,colegio mixto la excelencia,"2a. calle 8-18 zona 4, coban",41114848,patricio najarro asencio,zuly beatriz lópez winter,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-0987-46,16-031,alta verapaz,coban,colegio mixto la excelencia,"2a. calle 8-18 zona 4, coban",41114848,patricio najarro asencio,zuly beatriz lópez winter,privado,urbana,monolingue,sin jornada,semipresencial (fin de semana),alta verapaz
16-01-0990-46,16-031,alta verapaz,coban,"liceo mixto particular ""san benito""","9a. avenida 4-55, zona 4",37058145,patricio najarro asencio,henri marco artola teyul,privado,urbana,monolingue,sin jornada,semipresencial (un día a la semana),alta verapaz
16-01-0991-46,16-031,alta verapaz,coban,"liceo mixto particular ""san benito""","9a. avenida 4-55, zona 4",37058145,patricio najarro asencio,henri marco artola teyul,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-0994-46,16-050,alta verapaz,coban,centro de educación extraescolar -ceex-,barrio chivencorral zona 12,49972934,maximiliano chub ical,henrry alexander de los santos mutz,oficial,urbana,monolingue,doble,diario(regular),alta verapaz
16-01-0997-46,16-004,alta verapaz,coban,centro educativo betania,san benito i,42183442,aquiles giovani bac guevara,sandra julieta pérez ramos,privado,rural,monolingue,vespertina,diario(regular),alta verapaz
16-01-1001-46,16-031,alta verapaz,coban,liceo dr. ricardo bressani,1a. avenida 5-56 zona 2,79521633,patricio najarro asencio,belsy claribel santisteban archila,privado,urbana,monolingue,doble,virtual a distancia,alta verapaz
16-01-1002-46,16-031,alta verapaz,coban,colegio cristiano elim,"diagonal 3, 11-04, zona 2",44779923,patricio najarro asencio,selvin dario rosales aguirre,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-1005-46,16-031,alta verapaz,coban,liceo chaab'il b'e,8a. avenida 4-39 zona 4,56969292,patricio najarro asencio,allan noel macz chiquin,privado,urbana,monolingue,vespertina,virtual a distancia,alta verapaz
16-01-1008-46,16-031,alta verapaz,coban,colegio hispanoamericano,9a. avenida 2-22 zona 1,77738763,patricio najarro asencio,octavio ismael batz choc,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-1009-46,16-031,alta verapaz,coban,colegio bilingüe bet-luz,7a. calle 11-233 zona 6,45379823,patricio najarro asencio,celeste leticia yat macz,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
