establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
integral mixto en computacion estudiantil fraijanes,1ra.ave.7-46 z 2 guatemala,fraijanes,Guatemala,['01-13-0095-46'],01-405,privado,urbana,blanca sarai gutierrez pineda,edie guillermo hernández lanuza,['66378213'],['monolingue'],['doble'],['fin de semana'],guatemala oriente
integral mixto leon de juda,2da. av. 4-43 ciudad real z 12,villa nueva,Guatemala,['01-15-0314-46'],01-210,privado,urbana,diniz oralia morales muñoz,fernando augusto siguantay flores,['66384442'],['monolingue'],['vespertina'],['diario(regular)'],guatemala sur
integral nagyos 2,lote 14 manzana l sector 4 prados de villa hermosa z 7,san miguel petapa,Guatemala,['01-17-0291-46'],01-631,privado,urbana,rosa melia roque colindres,nivea azucena gómez martínez,['24648392'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
integral nueva generacion,1a. calle 7-17 z 2,rabinal,Baja Verapaz,"[""['15-03-0143-46', '15-03-2150-46']""]","['15-031', '15-031']","['privado', 'privado']","['urbana', 'urbana']","['edgar ovidio sic xitumul', 'edgar ovidio sic xitumul']","['german raxcacó gómez', 'german raxcacó gómez']",[],"[""['monolingue', 'monolingue']""]","[""['sin jornada', 'doble']""]","[""['semipresencial (un día a la semana)', 'fin de semana']""]",baja verapaz
integral nueva generacion,barrio el pedregal,san benito,Peten,"['17-03-0094-46', ""['17-03-0098-46', '17-03-0099-46']""]",17-003,privado,urbana,deylin antonio alvarez aldana,miguel angel mejia flores,['41821593'],"[""['monolingue', 'monolingue']"", 'monolingue']","[""['doble', 'doble']"", 'vespertina']","[""['fin de semana', 'fin de semana']"", 'diario(regular)']",petén
integral nuevo amanecer en el valle,11 av 5-92 residenciales valle de la mariposa,amatitlan,Guatemala,['01-14-0092-46'],01-202,privado,urbana,elsa patricia de leon mejia,oscar alfonso régil escobar,['54131437'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
integral palenciano,2a. calle prolongacion interior no. 7 canton rincon de la piedra,palencia,Guatemala,"[""['01-05-8549-46', '01-05-8550-46']""]","['01-108', '01-108']","['privado', 'privado']","['urbana', 'urbana']","['pedro adolfo lucero rosales', 'pedro adolfo lucero rosales']","['thelma consuelo pérez hernández', 'thelma consuelo pérez hernández']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",guatemala norte
integral palenciano,2a. calle prolongacion interior no. 7 el rincon canton rincon de la piedra,palencia,Guatemala,"[""['01-05-8604-46', '01-05-8606-46']""]","['01-111', '01-108']","['privado', 'privado']","['urbana', 'urbana']","['rosa alba lopez pirir', 'pedro adolfo lucero rosales']","['thelma consuelo pérez hernández', 'thelma consuelo pérez hernández']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'doble']""]","[""['fin de semana', 'fin de semana']""]",guatemala norte
integral palenciano,2da. calle prolongacion interior no. 7 el rincon,palencia,Guatemala,['01-05-0126-46'],01-108,privado,rural,pedro adolfo lucero rosales,thelma consuelo pérez hernández,['51604540'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala norte
integral principios,32 av. d2-87 z 3,quetzaltenango,Quetzaltenango,['09-01-0538-46'],09-006,privado,urbana,pedro gerónimo sarat chaj,lidia yolanda pérez reynoso,['56127694'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
integral purulense victoria,barrio la cruz,purulha,Baja Verapaz,"[""['15-08-0205-46', '15-08-0206-46']""]","['15-021', '15-021']","['privado', 'privado']","['urbana', 'urbana']","['pedro armando castro choco', 'pedro armando castro choco']","['marco antonio xoy ortíz', 'marco antonio xoy ortíz']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",baja verapaz
integral sagrada familia,2 calle y 6a. av. zon 2 barrio central,asuncion mita,Jutiapa,['22-05-0044-46'],22-002,privado,urbana,carlos humberto cruz alay,maría mercedes garcía vega,['78460481'],['monolingue'],['vespertina'],['diario(regular)'],jutiapa
integral sagrada familia,barrio el calvario,asuncion mita,Jutiapa,['22-05-0061-46'],22-017,privado,urbana,sandra patricia lopez de cambara,laura yubixa monroy,['78460481'],['monolingue'],['doble'],['fin de semana'],jutiapa
integral sampedrano,7a calle 6-18 z 3,san pedro sacatepequez,Guatemala,['01-09-0034-46'],01-612,privado,urbana,silvia magaly garcia garcia,olimpia noemí coloma flores,['66452911'],['bilingue'],['vespertina'],['diario(regular)'],guatemala occidente
integral sampedrano,7a. calle 6-18 z 3,san pedro sacatepequez,Guatemala,"[""['01-09-0022-46', '01-09-0050-46', '01-09-9061-46']""]","['01-612', '01-612', '01-612']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['silvia magaly garcia garcia', 'silvia magaly garcia garcia', 'silvia magaly garcia garcia']","['olimpia noemí coloma flores', 'olimpia noemí coloma flores', 'olimpia noemí coloma flores']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'sin jornada', 'vespertina']""]","[""['fin de semana', 'semipresencial (un día a la semana)', 'diario(regular)']""]",guatemala occidente
integral san isidro,27 av 1-60 z 6 colonia san jose los pinos mixco,mixco,Guatemala,['01-08-0338-46'],01-616,privado,rural,rene sazo navichoque,aura raquel de leon hernandez,['24846244'],['monolingue'],['vespertina'],['diario(regular)'],guatemala occidente
integral san juan,9a. calle 3-40,zona 1,Guatemala,"[""['00-01-0565-46', '00-01-0568-46']""]","['01-318', '01-403']","['privado', 'privado']","['urbana', 'urbana']","['leslie azucena monzon tecun', 'carlos humberto gonzález de león']","['silvia patricia ramos estrada', 'silvia patricia ramos estrada']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",guatemala norte
integral santiaguito linsa,canton pachichaj,santiago atitlan,Solola,['07-19-0051-46'],07-015,privado,urbana,juan pop chavajay,gaspar reanda pablo,['77217550'],['monolingue'],['vespertina'],['diario(regular)'],sololá
integral sololateco,6ta. av 6-37 z 2 barrio el calvario,solola,Solola,['07-01-0577-46'],07-019,privado,urbana,estela ben ajcalón de tuy,elsa jeanett sánchez soto,['77623709'],['bilingue'],['vespertina'],['diario(regular)'],sololá
integral tecnologico cientifico,lote 11 manzana h sector 3 b colonia el eden,san juan sacatepequez,Guatemala,['01-10-0157-46'],01-647,privado,urbana,vinicio arnoldo najera cardona,miriam rebeca barrientos gonzález,['55161162'],['monolingue'],['vespertina'],['diario(regular)'],guatemala occidente
integral tecnologico cientifico,lote 11 manzana h sector 3-b colonia el eden,san juan sacatepequez,Guatemala,"[""['01-10-0152-46', '01-10-0200-46']"", ""['01-10-0153-46', '01-10-0154-46']""]","['01-647', '01-647']","['privado', 'privado']","['urbana', 'urbana']","['vinicio arnoldo najera cardona', 'vinicio arnoldo najera cardona']","['oscar rodolfo garza garcia', 'oscar rodolfo garza garcia']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'doble']"", ""['matutina', 'doble']""]","[""['diario(regular)', 'fin de semana']"", ""['fin de semana', 'fin de semana']""]",guatemala occidente
integral tecnologico cientifico,lote 11 manzana h sector 3-b colonia el eden ciudad quetzal,san juan sacatepequez,Guatemala,['01-10-0308-46'],01-647,privado,urbana,vinicio arnoldo najera cardona,oscar rodolfo garza garcia,['55161162'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],guatemala occidente
integral tecnologico sabiduria universal litsu,20 calle c 3-85 colonia san jose la comunidad z 10,mixco,Guatemala,['01-08-0946-46'],01-639,privado,urbana,ludvin ricardo urrutia lorenti,hugo francisco ruano pirir,['42346671'],['monolingue'],['doble'],['semipresencial'],guatemala occidente
integral toliman,1a. y 2a. calle de la 7a av 1-71 z 1,san lucas toliman,Solola,['07-13-2708-46'],07-030,privado,urbana,abraham alberto cosigua mejia,cruz mendoza yaxón,['77930645'],['bilingue'],['vespertina'],['diario(regular)'],sololá
integral vicentino,4a. av y 6a. calle canton las flores.,san vicente pacaya,Escuintla,['05-12-0033-46'],05-018,privado,urbana,edgar alberto aceituno morales,rosa floriselda ronquillo escobar,['56367952'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],escuintla
integral vicentino,8a. calle final 6-89 canton la fe,san vicente pacaya,Escuintla,['05-12-0035-46'],05-018,privado,urbana,edgar alberto aceituno morales,rosa floriselda ronquillo escobar,['56367952'],['monolingue'],['doble'],['fin de semana'],escuintla
inteligencias multiples,7a. av 7-13 z 1,san juan sacatepequez,Guatemala,"['01-10-0010-46', ""['01-10-0078-46', '01-10-0217-46', '01-10-0220-46', '01-10-0310-46']""]",01-610,privado,urbana,lesbia maricela cotzojay patzan,césar armando cabrera garcía,['66695040'],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']"", 'monolingue']","[""['doble', 'vespertina', 'doble', 'sin jornada']"", 'matutina']","[""['fin de semana', 'diario(regular)', 'fin de semana', 'semipresencial (fin de semana)']"", 'diario(regular)']",guatemala occidente
interamericano,11 av 06-75 interior 1 z 16 guatemala,zona 16,Guatemala,['00-16-0998-46'],01-509,privado,urbana,nancy carolina navas gonzález,maría victoria pira martínez,['22002990'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
interamericano de informatica,3a. calle 2-28 colonia landivar,zona 7,Guatemala,"[""['00-07-8492-46', '00-07-8493-46']""]","['01-409', '01-409']","['privado', 'privado']","['urbana', 'urbana']","['idalia del rosario lopez sandoval de paiz', 'idalia del rosario lopez sandoval de paiz']","['carmen lizeth raxón cuc', 'carmen lizeth raxón cuc']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'doble']""]","[""['fin de semana', 'fin de semana']""]",guatemala occidente
intercientifico multilingue y multiversidad mundo real,cabecera municipal,comitancillo,San Marcos,"['12-04-0229-46', ""['12-04-0125-46', '12-04-0126-46', '12-04-0127-46', '12-04-0219-46', '12-04-0221-46']""]",12-058,privado,urbana,rosalinda vitalina jimenez perez,dora floridalma yax morales,['57835932'],"[""['bilingue', 'bilingue', 'bilingue', 'bilingue', 'bilingue']"", 'bilingue']","[""['doble', 'vespertina', 'doble', 'vespertina', 'sin jornada']"", 'vespertina']","[""['fin de semana', 'diario(regular)', 'diario(regular)', 'virtual a distancia', 'semipresencial (un día a la semana)']"", 'virtual a distancia']",san marcos
intercultural de computacion y turismo cict,11 calle 1-56,zona 1,Guatemala,['00-01-0380-46'],01-312,privado,urbana,amado salomon flores perez,maribel alejandrina valenzuela guzman,['22326732'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
intercultural de guatemala,3 av 25-48 z 12 colonia villa lobos 1 villa nueva,villa nueva,Guatemala,['01-15-0803-46'],01-641,privado,urbana,milton alonso alvarez fuentes,bárbara sofía rosales quijano,['52442919'],['monolingue'],['doble'],['fin de semana'],guatemala sur
intercultural de guatemala,3a. av 24-12 colonia villa lobos i,villa nueva,Guatemala,['01-15-0744-46'],01-641,privado,urbana,milton alonso alvarez fuentes,bárbara sofía rosales quijano,['52442919'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],guatemala sur
intercultural de guatemala,3a. av 25-48 z 12,villa nueva,Guatemala,['01-15-0550-46'],01-207,privado,urbana,eloísa mercedes gómez orozco de fuentes,bárbara sofía rosales quijano,['52442919'],['monolingue'],['vespertina'],['diario(regular)'],guatemala sur
intercultural de guatemala,3a. av 25-48 z 12 villa lobos,villa nueva,Guatemala,['01-15-0643-46'],01-207,privado,urbana,eloísa mercedes gómez orozco de fuentes,bárbara sofía rosales quijano,['52442919'],['monolingue'],['doble'],['diario(regular)'],guatemala sur
intercultural de guatemala,3a. av 25-48 z 12 villa lobos i,villa nueva,Guatemala,['01-15-0623-46'],01-207,privado,urbana,eloísa mercedes gómez orozco de fuentes,bárbara sofía rosales quijano,['52442919'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
intercultural de guatemala,manzana c sector 2 lote 46 z 12 colonia las margaritas,villa nueva,Guatemala,"[""['01-15-0582-46', '01-15-0584-46']""]","['01-207', '01-641']","['privado', 'privado']","['urbana', 'urbana']","['eloísa mercedes gómez orozco de fuentes', 'milton alonso alvarez fuentes']","['andy del rosario villagran cayax', 'andy del rosario villagran cayax']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",guatemala sur
intercultural montufar,aldea montufar sector  lote 137 z 0,san juan sacatepequez,Guatemala,"[""['01-10-0335-46', '01-10-0337-46', '01-10-0339-46']""]","['01-622', '01-622', '01-622']","['privado', 'privado', 'privado']","['rural', 'rural', 'rural']","['maria de los angeles gonzalez aldana', 'maria de los angeles gonzalez aldana', 'maria de los angeles gonzalez aldana']","['marvin jhony soto herrera', 'guillermina del tránsito bay mayorga', 'guillermina del tránsito bay mayorga']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'sin jornada', 'doble']""]","[""['diario(regular)', 'semipresencial (un día a la semana)', 'fin de semana']""]",guatemala occidente
intercultural pachalumense,av las amelias z 4 casa no. c-01,pachalun,Quiche,['14-21-6000-46'],14-035,privado,urbana,erik israel giron juarez,marvin jhony soto herrera,['57461136'],['monolingue'],['doble'],['fin de semana'],quiché
intercultural pachalumense,cabecera municipal,pachalun,Quiche,['14-21-6029-46'],14-035,privado,urbana,erik israel giron juarez,marvin jhony soto herrera,['57461136'],['monolingue'],['vespertina'],['diario(regular)'],quiché
intercultural pachalumense,valle linda vista salida a moritas,pachalun,Quiche,"[""['14-21-0023-46', '14-21-0024-46', '14-21-0036-46']""]","['14-035', '14-035', '14-035']","['privado', 'privado', 'privado']","['urbana', 'rural', 'urbana']","['erik israel giron juarez', 'erik israel giron juarez', 'erik israel giron juarez']","['ezequiel montufar orrego', 'marvin jhony soto herrera', 'marvin jhony soto herrera']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (fin de semana)']""]",quiché
intercultural privado mixto ciencia aplicada,cabecera municipal,nenton,Huehuetenango,"[""['13-05-0052-46', '13-05-0055-46']""]","['13-014', '13-014']","['privado', 'privado']","['urbana', 'urbana']","['joselino samayoa castillo', 'joselino samayoa castillo']","['miguel angel hernández tórrez', 'miguel angel hernández tórrez']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (fin de semana)']""]",huehuetenango
intercultural tuncaj,granados,granados,Baja Verapaz,"[""['15-05-0037-46', '15-05-0047-46', '15-05-1942-46', '15-05-2153-46']""]","['15-016', '15-016', '15-016', '15-016']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['jorge arnoldo alvarado perez', 'jorge arnoldo alvarado perez', 'jorge arnoldo alvarado perez', 'jorge arnoldo alvarado perez']","['filadelfo garcía alvarado', 'filadelfo garcía alvarado', 'filadelfo garcía alvarado', 'filadelfo garcía alvarado']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['doble', 'sin jornada', 'doble', 'vespertina']""]","[""['fin de semana', 'semipresencial (un día a la semana)', 'diario(regular)', 'diario(regular)']""]",baja verapaz
intercultural verapacense,8a. calle 4-47 z 4,san pedro carcha,Alta Verapaz,"[""['16-09-0760-46', '16-09-0862-46']""]","['16-033', '16-033']","['privado', 'privado']","['urbana', 'urbana']","['oscar rené ventura zac', 'oscar rené ventura zac']","['yoselin yesenia chocón tzalam', 'yoselin yesenia chocón tzalam']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (fin de semana)']""]",alta verapaz
intereco,14 calle o bulevar alamedas 36-51 z 6 de mixco alamedas de yumar,mixco,Guatemala,['01-08-0844-46'],01-616,privado,urbana,rene sazo navichoque,marlyn beatriz noriega ovalle,['22934200'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
internacional cambridge cis,3a. av a 3-28,zona 1,Guatemala,"[""['00-01-0339-46', '00-01-0584-46', '00-01-0832-46']""]","['01-318', '01-403', '01-403']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['leslie azucena monzon tecun', 'carlos humberto gonzález de león', 'carlos humberto gonzález de león']","['maría cristina gereda arévalo', 'maría cristina gereda arévalo', 'maría cristina gereda arévalo']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['matutina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (fin de semana)']""]",guatemala norte
internacional cambridge cis,3a. av a 3-38,zona 1,Guatemala,['00-01-0585-46'],01-403,privado,urbana,carlos humberto gonzález de león,maría cristina gereda arévalo,['57529460'],['monolingue'],['doble'],['fin de semana'],guatemala norte
internacional de guatemala,km. 16.5 carretera a el salvador ruta departamental 13,fraijanes,Guatemala,['01-13-7587-46'],01-508,privado,rural,manuel maria cano castro,ingrid tamara ortiz,['66372768'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
internacional de guatemala,km. 20.5 carretera a brisas pavon carretera a lo de dieguez,fraijanes,Guatemala,['01-13-0018-46'],01-508,privado,rural,manuel maria cano castro,mario rodolfo lópez ruiz,['66702600'],['monolingue'],['doble'],['diario(regular)'],guatemala oriente
internacional future learning center flc,km. 60 la felicidad salida a puerto san jose,escuintla,Escuintla,"[""['05-01-0231-46', '05-01-0473-46']""]","['05-033', '05-033']","['privado', 'privado']","['urbana', 'rural']","['remy arturo sinay gudiel', 'remy arturo sinay gudiel']","['jessica jeannette sagastume hicks', 'jessica jeannette sagastume hicks de tzorin.']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'diario(regular)']""]",escuintla
internacional future learning center flc,km. 60 la felicidad salida a puerto san jose escuintla,escuintla,Escuintla,['05-01-0259-46'],05-033,privado,urbana,remy arturo sinay gudiel,jessica jeannette sagastume hicks,['78841293'],['monolingue'],['doble'],['fin de semana'],escuintla
internacional future learning center flc,km. 60 la felicidad salida a puerto san jose.,escuintla,Escuintla,['05-01-0442-46'],05-033,privado,rural,remy arturo sinay gudiel,jessica jeannette sagastume hicks,['47691929'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],escuintla
internacional la cumbre,9 calle 28-74 canton 21,zona 14,Guatemala,['00-14-0023-46'],01-501,privado,urbana,julio jacobo gil urbina,susan gloriana salazar figueroa,['59445400'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
internacional montessori,km. 13.5 carretera a el salvador puerta parada z 7,santa catarina pinula,Guatemala,['01-02-4189-46'],01-644,privado,rural,ligia del rosario ricci velasquez,ana maría ricica siskova,['66281200'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
internacional racksson,29 av 6ta. calle b26-28 z 7,quetzaltenango,Quetzaltenango,"[""['09-01-0309-46', '09-01-0318-46']""]","['09-041', '09-041']","['privado', 'privado']","['urbana', 'urbana']","['wilson ranferi siguenza lopez', 'wilson ranferi siguenza lopez']","['karla maria lopez queme', 'karla maria lopez queme']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'matutina']""]","[""['diario(regular)', 'diario(regular)']""]",quetzaltenango
internacional synergy,km. 20.5 carretera a san jose pinula lote 40 callejon los alvarez aldea santa ines pinula,san jose pinula,Guatemala,['01-03-0101-46'],01-633,privado,rural,mayra hortensia rustrian ecute,norma beatriz erazo lopez,['66273000'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
internaciones,lotificacion villa romana carretera al pacifico,villa nueva,Guatemala,['01-15-9377-46'],01-216,privado,urbana,anny victoria perdomo villatoro,mirna elizabeth morales campos,['66244200'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
international christian school,km. 16.5 calle olmeca 2-226 aldea don justo,fraijanes,Guatemala,['01-13-0151-46'],01-508,privado,urbana,manuel maria cano castro,nancy aleida equite padilla,['66339900'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
international school of knowledge,kilometro 38.5 ruta al pacifico local  residenciales las victorias,palin,Escuintla,['05-11-0072-46'],05-017,privado,urbana,esther avigail yuman alvizures,edson guillermo pérez lópez,['79371496'],['monolingue'],['matutina'],['diario(regular)'],escuintla
intituto tecnologico de sur oriente,barrio el cielito,moyuta,Jutiapa,['22-14-0073-46'],22-039,privado,urbana,elda maritza linares galicia de cortez,lilian azucena garcía menèndez,['59847305'],['monolingue'],['doble'],['fin de semana'],jutiapa
ipalteco en computacion,1a. calle 2-78 z 4,ipala,Chiquimula,"[""['20-11-0049-46', '20-11-0050-46']""]","['20-041', '20-041']","['privado', 'privado']","['urbana', 'urbana']","['juan de dios monroy ramirez', 'juan de dios monroy ramirez']","['lucinda del carmen berganza acevedo', 'lucinda del carmen berganza acevedo']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'vespertina']""]","[""['diario(regular)', 'diario(regular)']""]",chiquimula
irlandes,7a. av 4-62 colonia la brigada z 7,mixco,Guatemala,['01-08-0819-46'],01-601,privado,urbana,claudio daniel yac orozco,lilian yolanda rodriguez pinto de castro,['37730121'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
isea la  en su casa,1a. av. 4-24 z 2,coban,Alta Verapaz,['16-01-0690-46'],16-031,privado,urbana,patricio najarro asencio,ludwing joel noriega morales,['77930803'],['monolingue'],['doble'],['a distancia'],alta verapaz
isea la  en su casa,2a. calle a 11-10 z 1,coban,Alta Verapaz,['16-01-0909-46'],16-031,privado,urbana,patricio najarro asencio,ludwing joel noriega morales,['77256954'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],alta verapaz
isea roosevelt,14 av 0-22 z 2 colona urbanizacion gonzalez,mixco,Guatemala,['01-08-0755-46'],01-639,privado,urbana,ludvin ricardo urrutia lorenti,kelita betsabé noriega morales,['22323194'],['monolingue'],['doble'],['semipresencial'],guatemala occidente
isea roosevelt,14 av 0-22 z 2 colonia urbanizacion gonzalez,mixco,Guatemala,['01-08-0756-46'],01-639,privado,urbana,ludvin ricardo urrutia lorenti,kelita betsabé noriega morales,['22323194'],['monolingue'],['doble'],['semipresencial'],guatemala occidente
israeli,5a. calle 4-11 z 1,chiquimula,Chiquimula,['20-01-0213-46'],20-024,privado,urbana,silvia marilena buezo martinez,gladys eugenia rodríguez ramírez,['79422500'],['monolingue'],['matutina'],['diario(regular)'],chiquimula
italiano,1a. av 3-10 z 4,san andres sajcabaja,Quiche,['14-14-0085-46'],14-022,privado,urbana,julian mis garcia,juan carlos chach ventura,['41594407'],['monolingue'],['vespertina'],['diario(regular)'],quiché
italiano,2a. av 1-60 z 1,santa lucia cotzumalguapa,Escuintla,['05-02-0267-46'],05-007,privado,urbana,juan francisco godoy davila,yessica maribel morataya estrada,['78826255'],['monolingue'],['vespertina'],['diario(regular)'],escuintla
italiano,2da av lote 183 calle principal aldea el pilar,la democracia,Escuintla,['05-03-0053-46'],05-023,privado,rural,enma elizabrth gonzález fajardo de quiñonez.,brenda lisseth trujillo tobar,['42432317'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],escuintla
italiano,2da. av. lote 138 calle principal de aldea el pilar,la democracia,Escuintla,"['05-03-0037-46', '05-03-0055-46']",05-023,privado,rural,enma elizabrth gonzález fajardo de quiñonez.,cristopher rafael rodríguez galicia,"['42432317', '53214588']",['monolingue'],['vespertina'],['diario(regular)'],escuintla
italiano,5ta av y 5ta calle a un costado de la iglesia catolica,la democracia,Escuintla,"[""['05-03-0050-46', '05-03-0051-46']""]","['05-023', '05-023']","['privado', 'privado']","['urbana', 'urbana']","['enma elizabrth gonzález fajardo de quiñonez.', 'enma elizabrth gonzález fajardo de quiñonez.']","['lilian amarilis urrutia gonzalez', 'lilian amarilis urrutia gonzalez']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'vespertina']""]","[""['diario(regular)', 'diario(regular)']""]",escuintla
italiano,5ta. av y 5ta calle a un costado de la iglesia catolica,la democracia,Escuintla,"[""['05-03-0029-46', '05-03-0042-46']""]","['05-023', '05-023']","['privado', 'privado']","['urbana', 'urbana']","['enma elizabrth gonzález fajardo de quiñonez.', 'enma elizabrth gonzález fajardo de quiñonez.']","['lilian amarilis urrutia gonzalez', 'lilian amarilis urrutia gonzalez']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'sin jornada']""]","[""['diario(regular)', 'semipresencial (un día a la semana)']""]",escuintla
italiano de guatemala,calzada roosevelt 35-83,zona 11,Guatemala,"[""['00-11-0857-46', '00-11-9633-46']""]","['01-209', '01-209']","['privado', 'privado']","['urbana', 'urbana']","['miriam del carmen orozco hernandez', 'miriam del carmen orozco hernandez']","['carlos ernesto ochoa salguero', 'carlos ernesto ochoa salguero']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'diario(regular)']""]",guatemala sur
italiano trilingue,1ra calle d15 29-04 z 1,quetzaltenango,Quetzaltenango,['09-01-0532-46'],09-002,privado,urbana,rosemery guadalupe piedrasanta gramajo de siguenza,nusy erica gonzález vásquez,['77617806'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
ixmucane,6a. calle 7-12 colonia nueva monserrat z 3,mixco,Guatemala,"[""['01-08-0441-46', '01-08-0766-46']""]","['01-603', '01-603']","['privado', 'privado']","['urbana', 'urbana']","['rosa albelia ardon de motta', 'rosa albelia ardon de motta']","['silvia lucrecia garcía moya', 'silvia lucrecia garcía moya']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (un día a la semana)']""]",guatemala occidente
ixmucane,6a. calle 7-12 colonia nueva montserrat z 3 mixco,mixco,Guatemala,['01-08-7098-46'],01-603,privado,urbana,rosa albelia ardon de motta,silvia lucrecia garcía moya,['24375856'],['monolingue'],['doble'],['fin de semana'],guatemala occidente
ixmucane,6ta calle 7-12 colonia nueva monserrat z 3,mixco,Guatemala,['01-08-0269-46'],01-603,privado,urbana,rosa albelia ardon de motta,silvia lucrecia garcía moya,['24375856'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
ixtanche,barrio el  barrio el  dolores peten,dolores,Peten,['17-08-0098-46'],17-012,privado,urbana,héctor david mayén milián,olga ical yaque,['58251277'],['monolingue'],['doble'],['fin de semana'],petén
ixtanche,barrio el  dolores peten,dolores,Peten,['17-08-0004-46'],17-012,privado,urbana,héctor david mayén milián,olga ical yaque,['58251277'],['monolingue'],['vespertina'],['diario(regular)'],petén
ixtanche,barrio el  municipio de dolores peten.,dolores,Peten,['17-08-0112-46'],17-012,privado,urbana,héctor david mayén milián,olga ical yaque,['58251277'],['monolingue'],['sin jornada'],['semipresencial (un día a la semana)'],petén
izabal,barrio el carrizal,morales,Izabal,"[""['18-04-0194-46', '18-04-0218-46', '18-04-0488-46']""]","['18-039', '18-039', '18-039']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['elsa yadira martinez perez', 'elsa yadira martinez perez', 'elsa yadira martinez perez']","['maria eugenia molina aldana', 'maria eugenia molina aldana', 'maria eugenia molina aldana']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['nocturna', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (fin de semana)']""]",izabal
j harvard,barrio el,los amates,Izabal,"[""['18-05-0105-46', '18-05-0143-46']""]","['18-037', '18-037']","['privado', 'privado']","['urbana', 'urbana']","['mirna judith aquino rivera de elias', 'mirna judith aquino rivera de elias']","['edita selena ortega manchamé', 'edita selena ortega manchamé']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'sin jornada']""]","[""['fin de semana', 'semipresencial (un día a la semana)']""]",izabal
